symbol,name,purchase_price,shares,purchase_date,target_price,allocation_aed
VZ,Verizon Communications Inc.,40.79999923706055,8,2025-11-13,42.08111921310425,1197.8879776000977
V,Visa Inc.,338.8800048828125,1,2025-11-13,349.52083703613283,1243.6896179199218
NKE,"NIKE, Inc.",64.19999694824219,5,2025-11-13,66.215876852417,1178.069944000244
